"entering_grade_level","district","birth_month","olsat_verbal_score","olsat_verbal_percentile","nnat_non_verbal_raw_score","nnat_non_verbal_percentile","overall_score","school_assigned","date","first_choice","remaining_choices","testprep","enrollment"
"kindergarten",28,"September",27,98,42,99,99,NA,2018-03-27,"Q300","NEST+M","Yes","Yes"
"kindergarten",28,"January",30,99,44,99,99,NA,2018-03-27,"none","none",NA,""
"kindergarten",3,"March",26,99,40,99,99,NA,2018-03-28,"none","none",NA,""
"kindergarten",21,"February ",27,99,NA,99,99,NA,2018-03-28,"none","none",NA,""
"kindergarten",24,"September",27,98,41,99,99,NA,2018-03-28,"none","none",NA,""
"kindergarten",25,"October ",24,99,39,99,99,NA,2018-03-28,"Q300","NEST","Yes",""
"Kindergarten",26,"November",24,99,4,99,99,NA,2018-03-28,"PS188","none",NA,""
"kindergarten",11,"January",26,99,48,99,99,NA,2018-03-29,"Anderson TAG","none",NA,"Yes"
"kindergarten",28,"February",28,98,44,99,99,NA,2018-03-29,"none","none","Yes",""
"kindergarten",15,"May",28,99,46,99,99,NA,2018-03-30,"NEST+M","none","Yes","Yes"
"kindergarten",2,"July",27,99,45,99,99,"Anderson",2018-04-01,"Anderson","TAG, NEST, q300",NA,"Yes"
"kindergarten",28,"December",28,99,42,99,99,NA,2018-04-02,"NEST+M","NEST+M, otherwise stay at PS174Q G&T","Yes","Yes"
"kindergarten",3,"February",29,99,42,99,99,NA,2018-06-04,"Anderson","TAG","No","Yes"
"kindergarten",14,"January",25,99,46,99,99,NA,2018-04-11,"NEST+M","NEST+M, Andreson, district",NA,""
"kindergarten",2,"August",26,99,40,99,99,NA,2018-04-16,"Anderson","none",NA,"Yes"
"kindergarten",30,"February",25,99,37,98,99,NA,2018-04-17,"Q300","NEST, PS 150(district)","Yes",""
"kindergarten",13,"September",23,98,37,99,99,"PS9 Brooklyn",2018-04-24,"Anderson","PS9 Brooklyn","Yes","Yes"
"kindergarten",3,"May",26,99,40,99,99,"TAG",2018-06-01,"Anderson","TAG, 166, 163",NA,"Yes"
"kindergarten",2,"February",NA,99,NA,99,99,"PS33",NA,"Nest","Anderson, TAG, LL Q300, PS33",NA,""
"kindergarten",17,"September",24,99,36,99,99,"Anderson ",2018-06-04,"Anderson","NEST, Q300","Yes","Yes"
"kindergarten",2,"March",26,99,47,99,99,"Anderson",2018-06-05,"Anderson","Nest, LL, PS11","Yes","Yes"
"kindergarten",27,"November",27,99,44,99,99,"TAG",2018-06-05,"Nest","BSI, TAG, 30th Ave School","Yes","Yes"
"kindergarten",30,"January ",26,99,37,98,99,"PS 166",2018-06-07,"NEST+M","NEST+M, Q300, PS166, PS150 (District)","No","Yes"
"kindergarten",25,"January",NA,99,48,99,99,NA,NA,"none","none",NA,""
"kindergarten",19,"July",1,99,44,99,99,"district",NA,"BSI","Q300",NA,"No"
"kindergarten",26,"December",29,99,42,99,99,NA,NA,"BSI","none",NA,""
"first",2,"January",24,97,44,99,98,"33",2018-03-27,"Nest","Anderson,LL, Tag, 11,33,130","Yes","Yes"
"first",2,"August",22,97,37,99,98,NA,2018-03-27,"TAG","lower lab","Yes",""
"first",2,"January",28,99,36,96,98,NA,2018-03-27,"BSI","none",NA,""
"second",13,"August",23,98,34,98,98,"PS 9 Brooklyn G&T",2018-03-27,"NEST+M","none","No","No"
"kindergarten",28,"March",26,95,46,99,98,NA,2018-03-27,"anderson","none",NA,""
"kindergarten",29,"October ",26,97,43,99,98,NA,2018-03-27,"NEST+m","NEST+m, PS11",NA,""
"kindergarten",30,"January",27,95,46,99,98,NA,2018-03-27,"Q300","none","No",""
"kindergarten",2,"September",22,97,44,99,98,NA,2018-03-28,"LL","TAG","Yes",""
"kindergarten",2,"April",23,96,40,99,98,NA,2018-03-28,"LL","PS 198, PS 11, PS 33, PS130",NA,""
"kindergarten",2,"July",21,95,40,99,98,NA,2018-03-29,"NEST+M","NEST+M, TAG","Yes","Yes"
"kindergarten",2,"March",24,98,36,98,98,NA,2018-04-06,"none","none","Yes","Yes"
"kindergarten",14,"March",28,97,45,99,98,NA,2018-04-07,"none","none","Yes","Yes"
"kindergarten",3,"April",23,96,40,99,98,NA,2018-04-10,"Anderson or 166 but not expecting to get in","none","No",""
"kindergarten",2,"October ",21,97,37,99,98,NA,2018-04-14,"NEST","Anderson, PS33",NA,"Yes"
"kindergarten",2,"October ",25,95,47,99,98,NA,2018-04-14,"none","none",NA,""
